,Identifier,First Given Name,Family Name,Primary Email,Phone Number,Street Address,City Name,State Abbreviation,Postal Code,Member Level,Start Date of Subscription,End Date of Subscription,Total Amount Spent,Birthdate
0,1001.0,John,Doe,johndoe@example.com,555-555-5555,123 Main St,New York,NY,10001.0,Gold,15-01-2023,31-12-2023,1250.25,15-05-2003
1,1002.0,Unknown,Smith,janesmith@example.com,555-555-5556,456 Oak Ave,Los Angeles,CA,90001.0,Silver,20-02-2023,30-11-2023,800.5,30-12-1990
2,1003.0,Bob,Johnson,bobj@example.com,555-555-5557,789 Elm Blvd,Chicago,IL,60601.0,Bronze,25-03-2023,31-10-2023,450.75,25-08-1985
3,1004.0,Alice,Brown,aliceb@example.com,555-555-5558,,Miami,FL,33101.0,Silver,10-04-2023,31-12-2023,600.25,30-12-1990
4,1005.0,David,Lee,davidl@example.com,555-555-5559,202 Cedar Ln,San Francisco,CA,94101.0,Platinum,12-05-2023,31-08-2023,,05-11-1978
5,1006.0,Emily,White,,555-555-5560,303 Spruce Rd,Boston,MA,2101.0,Gold,15-06-2023,31-12-2023,1100.75,20-09-1995
6,1007.0,Michael,Clark,michaelc@example.com,555-555-5561,404 Willow Ave,Dallas,TX,75201.0,Platinum,20-07-2023,30-11-2023,2200.5,14-02-2000
7,1008.0,Sarah,Turner,saraht@example.com,555-555-5562,505 Birch St,,WA,98101.0,Silver,25-08-2023,31-10-2023,800.5,20-09-1995
8,1009.0,James,Anderson,jamesa@example.com,555-555-5563,606 Pine Dr,Phoenix,AZ,85001.0,Bronze,30-09-2023,15-06-2023,400.25,08-03-1992
9,1010.0,Linda,Hall,lindah@example.com,555-555-5564,707 Oak Ln,Houston,,77001.0,Gold,15-10-2023,31-12-2023,1350.5,27-06-2005
10,1011.0,Robert,Williams,robertw@example.com,555-555-5565,808 Cedar Ave,San Diego,CA,92101.0,,10-11-2023,31-12-2023,1750.75,03-10-1998
11,0.0,Christine,Evans,christinee@example.com,555-555-5566,909 Elm St,Philadelphia,PA,19101.0,,15-10-2023,31-12-2023,950.75,22-01-1987
12,1013.0,William,Scott,,555-555-5567,101 Oak Rd,Portland,OR,97201.0,Gold,05-01-2024,31-12-2024,,08-08-2002
13,1014.0,Susan,Miller,susanm@example.com,555-555-5568,202 Pine Ave,San Antonio,,78201.0,Bronze,10-02-2024,10-02-2024,600.25,19-04-1975
14,1015.0,George,Moore,georgem@example.com,555-555-5569,,,CO,80201.0,Platinum,20-03-2024,31-12-2024,2400.5,12-11-1993
15,1016.0,Rebecca,,rebeccak@example.com,555-555-5570,404 Cedar Blvd,Minneapolis,MN,55401.0,Gold,25-04-2024,31-12-2024,1200.75,01-09-1989
16,1017.0,Charles,Baker,charlesc@example.com,555-555-5571,505 Elm Rd,San Jose,CA,95101.0,Silver,30-05-2024,31-12-2024,850.25,12-11-1993
17,1018.0,Emily,Wright,emilywright@example.com,555-555-5572,606 Spruce St,Phoenix,AZ,,Platinum,15-06-2024,31-12-2024,1800.5,03-06-1979
18,1019.0,Daniel,Harris,danielh@example.com,555-555-5573,707 Willow Ave,Chicago,IL,60601.0,Bronze,20-07-2024,31-12-2024,950.75,25-02-1996
19,1020.0,Karen,Green,,555-555-5574,808 Oak Ln,Los Angeles,CA,90001.0,Gold,25-08-2024,31-12-2024,1550.25,14-10-1983
